Land-Ocean: Global Means
Year                    , Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec , J-D , D-N , DJF , MAM , JJA , SON
1899                    , -.17, -.38, -.36, -.20, -.23, -.31, -.15, -.08, -.04, -.04, .12 , -.27, -.18, -.17, -.26, -.26, -.18, .01
1900                    , -.37, -.06, .00 , -.09, -.09, -.10, -.13, -.09, -.05, .09 , -.07, -.07, -.09, -.10, -.23, -.06, -.11, -.01
1901                    , -.23, -.11, .06 , -.03, -.15, -.12, -.14, -.20, -.22, -.29, -.17, -.28, -.16, -.14, -.14, -.04, -.16, -.23
1902                    , -.17, -.09, -.27, -.27, -.32, -.32, -.28, -.30, -.29, -.30, -.37, -.43, -.28, -.27, -.18, -.29, -.30, -.32
1903                    , -.25, -.06, -.24, -.41, -.40, -.43, -.35, -.45, -.49, -.46, -.42, -.51, -.37, -.37, -.24, -.35, -.41, -.46
1904                    , -.64, -.59, -.51, -.51, -.52, -.48, -.51, -.49, -.56, -.39, -.18, -.34, -.48, -.49, -.58, -.51, -.50, -.38
1905                    , -.35, -.60, -.22, -.33, -.29, -.28, -.26, -.20, -.19, -.24, -.07, -.13, -.26, -.28, -.43, -.28, -.25, -.17
1906                    , -.28, -.30, -.18, -.05, -.26, -.20, -.23, -.20, -.28, -.20, -.38, -.15, -.22, -.22, -.24, -.16, -.21, -.28
1907                    , -.43, -.51, -.27, -.37, -.46, -.42, -.35, -.34, -.34, -.23, -.47, -.48, -.39, -.36, -.36, -.37, -.37, -.35
1908                    , -.45, -.32, -.56, -.45, -.38, -.38, -.35, -.46, -.35, -.44, -.52, -.49, -.43, -.43, -.42, -.46, -.40, -.44
1909                    , -.73, -.46, -.55, -.59, -.55, -.52, -.45, -.34, -.39, -.40, -.32, -.56, -.49, -.48, -.56, -.56, -.44, -.37
1910                    , -.43, -.42, -.51, -.43, -.35, -.39, -.35, -.37, -.39, -.41, -.57, -.68, -.44, -.43, -.47, -.43, -.37, -.46
1911                    , -.63, -.59, -.61, -.54, -.52, -.51, -.43, -.44, -.41, -.27, -.22, -.23, -.45, -.49, -.63, -.56, -.46, -.30
1912                    , -.28, -.16, -.39, -.19, -.22, -.25, -.43, -.55, -.58, -.58, -.40, -.44, -.37, -.35, -.22, -.27, -.41, -.52
1913                    , -.41, -.46, -.43, -.40, -.45, -.46, -.37, -.33, -.35, -.32, -.21, -.04, -.35, -.39, -.44, -.43, -.38, -.29
1914                    , .03 , -.11, -.25, -.30, -.22, -.26, -.25, -.17, -.18, -.04, -.17, -.05, -.16, -.16, -.04, -.26, -.22, -.13
1915                    , -.22, -.05, -.10, .06 , -.06, -.23, -.13, -.22, -.20, -.25, -.13, -.21, -.15, -.13, -.11, -.03, -.19, -.19
1916                    , -.14, -.16, -.29, -.31, -.36, -.50, -.37, -.28, -.36, -.33, -.47, -.82, -.37, -.31, -.17, -.32, -.38, -.39
1917                    , -.57, -.62, -.64, -.55, -.56, -.44, -.25, -.23, -.23, -.44, -.35, -.68, -.46, -.48, -.67, -.58, -.31, -.34
1918                    , -.48, -.36, -.27, -.45, -.44, -.37, -.32, -.32, -.18, -.06, -.12, -.30, -.30, -.34, -.51, -.38, -.34, -.12
1919                    , -.21, -.24, -.22, -.13, -.29, -.37, -.30, -.34, -.26, -.20, -.42, -.43, -.28, -.27, -.25, -.21, -.33, -.29
1920                    , -.26, -.28, -.13, -.25, -.27, -.36, -.31, -.27, -.22, -.27, -.28, -.47, -.28, -.28, -.32, -.22, -.31, -.25
1921                    , -.05, -.18, -.23, -.30, -.30, -.27, -.15, -.26, -.19, -.03, -.15, -.18, -.19, -.22, -.24, -.28, -.23, -.12
1922                    , -.34, -.45, -.15, -.23, -.33, -.31, -.27, -.33, -.35, -.31, -.14, -.20, -.28, -.28, -.32, -.24, -.30, -.27
1923                    , -.28, -.40, -.34, -.42, -.34, -.29, -.31, -.34, -.31, -.13, -.03, -.04, -.27, -.28, -.29, -.36, -.31, -.16
1924                    , -.23, -.23, -.09, -.30, -.18, -.26, -.29, -.36, -.32, -.35, -.21, -.43, -.27, -.24, -.16, -.19, -.30, -.29
1925                    , -.38, -.39, -.27, -.26, -.30, -.33, -.27, -.21, -.20, -.18, .05 , .06 , -.22, -.26, -.40, -.28, -.27, -.11
1926                    , .21 , .02 , .11 , -.13, -.23, -.26, -.27, -.13, -.14, -.11, -.07, -.30, -.11, -.08, .10 , -.09, -.22, -.11
1927                    , -.27, -.18, -.39, -.31, -.26, -.28, -.19, -.24, -.13, -.01, -.06, -.33, -.22, -.22, -.25, -.32, -.24, -.06
1928                    , -.03, -.09, -.25, -.29, -.30, -.39, -.19, -.22, -.21, -.19, -.10, -.16, -.20, -.22, -.15, -.28, -.27, -.17
1929                    , -.45, -.58, -.33, -.41, -.38, -.43, -.37, -.32, -.25, -.15, -.12, -.55, -.36, -.33, -.40, -.37, -.37, -.17
1930                    , -.31, -.27, -.11, -.25, -.24, -.22, -.21, -.15, -.15, -.11, .17 , -.06, -.16, -.20, -.37, -.20, -.19, -.03
1931                    , -.10, -.21, -.11, -.23, -.20, -.08, -.03, -.03, -.06, .06 , -.06, -.05, -.09, -.09, -.12, -.18, -.05, -.02
1932                    , .15 , -.17, -.18, -.06, -.18, -.29, -.25, -.21, -.10, -.09, -.28, -.27, -.16, -.14, -.03, -.14, -.25, -.16
1933                    , -.24, -.30, -.30, -.25, -.29, -.34, -.21, -.23, -.29, -.25, -.31, -.45, -.29, -.27, -.27, -.28, -.26, -.28
1934                    , -.21, -.03, -.29, -.31, -.10, -.15, -.10, -.12, -.15, -.06, .03 , -.03, -.13, -.16, -.23, -.23, -.12, -.06
1935                    , -.34, .14 , -.14, -.37, -.29, -.27, -.21, -.22, -.21, -.06, -.26, -.17, -.20, -.19, -.08, -.27, -.23, -.18
1936                    , -.28, -.38, -.21, -.20, -.16, -.22, -.10, -.13, -.09, -.03, .01 , -.01, -.15, -.16, -.28, -.19, -.15, -.04
1937                    , -.07, .03 , -.20, -.16, -.06, -.05, -.03, .01 , .09 , .08 , .08 , -.08, -.03, -.02, -.02, -.14, -.02, .08
1938                    , .08 , .04 , .10 , .06 , -.10, -.17, -.09, -.05, .01 , .14 , .07 , -.13, .00 , .00 , .01 , .02 , -.10, .08
1939                    , -.05, -.06, -.18, -.10, -.04, -.07, -.05, -.06, -.07, -.04, .07 , .42 , -.02, -.07, -.08, -.11, -.06, -.01
1940                    , -.01, .08 , .09 , .17 , .10 , .11 , .12 , .06 , .15 , .10 , .16 , .31 , .12 , .13 , .16 , .12 , .10 , .13
1941                    , .17 , .30 , .09 , .15 , .16 , .13 , .21 , .14 , .02 , .35 , .22 , .21 , .18 , .19 , .26 , .14 , .16 , .20
1942                    , .29 , .02 , .05 , .09 , .11 , .04 , .00 , -.04, -.03, .01 , .09 , .12 , .06 , .07 , .17 , .08 , .00 , .02
1943                    , -.01, .17 , -.04, .11 , .06 , -.05, .08 , .01 , .05 , .23 , .20 , .23 , .09 , .08 , .09 , .05 , .01 , .16
1944                    , .35 , .24 , .26 , .19 , .18 , .15 , .17 , .18 , .28 , .27 , .11 , .04 , .20 , .22 , .27 , .21 , .17 , .22
1945                    , .10 , .01 , .06 , .20 , .06 , .01 , .04 , .26 , .20 , .19 , .07 , -.07, .09 , .10 , .05 , .11 , .10 , .15
1946                    , .15 , .03 , .01 , .06 , -.07, -.21, -.12, -.20, -.07, -.08, -.05, -.31, -.07, -.05, .04 , .00 , -.18, -.07
1947                    , -.07, -.08, .07 , .06 , -.01, -.02, -.04, -.07, -.12, .08 , .03 , -.13, -.03, -.04, -.15, .04 , -.04, -.01
1948                    , .06 , -.15, -.24, -.12, -.01, -.05, -.11, -.11, -.14, -.05, -.12, -.23, -.11, -.10, -.07, -.12, -.09, -.11
1949                    , .07 , -.14, -.02, -.11, -.10, -.27, -.13, -.13, -.14, -.06, -.10, -.18, -.11, -.11, -.10, -.08, -.18, -.10
1950                    , -.26, -.27, -.07, -.21, -.11, -.05, -.08, -.16, -.11, -.20, -.34, -.22, -.17, -.17, -.24, -.13, -.10, -.22
1951                    , -.34, -.41, -.20, -.14, .00 , -.07, -.01, .06 , .05 , .08 , -.01, .16 , -.07, -.10, -.32, -.12, -.01, .04
1952                    , .11 , .11 , -.08, .03 , -.03, -.03, .04 , .05 , .07 , .00 , -.13, -.02, .01 , .03 , .13 , -.02, .02 , -.02
1953                    , .07 , .15 , .11 , .19 , .11 , .12 , .01 , .05 , .04 , .08 , -.03, .05 , .08 , .07 , .07 , .14 , .06 , .03
1954                    , -.25, -.10, -.15, -.14, -.20, -.19, -.19, -.17, -.10, -.02, .08 , -.18, -.13, -.11, -.10, -.16, -.18, -.01
1955                    , .13 , -.16, -.32, -.22, -.20, -.13, -.11, .02 , -.11, -.05, -.25, -.28, -.14, -.13, -.07, -.25, -.07, -.14
1956                    , -.13, -.24, -.21, -.28, -.29, -.15, -.09, -.26, -.19, -.23, -.15, -.07, -.19, -.21, -.22, -.26, -.17, -.19
1957                    , -.09, -.03, -.05, .00 , .09 , .15 , .02 , .15 , .08 , .01 , .08 , .15 , .05 , .03 , -.06, .01 , .10 , .06
1958                    , .39 , .22 , .08 , .01 , .06 , -.09, .05 , -.05, -.03, .04 , .02 , .01 , .06 , .07 , .25 , .05 , -.03, .01
1959                    , .08 , .07 , .18 , .16 , .04 , .03 , .03 , -.01, -.07, -.07, -.08, -.01, .03 , .03 , .05 , .12 , .02 , -.07
1960                    , .00 , .13 , -.35, -.15, -.08, -.04, -.04, .02 , .07 , .06 , -.11, .19 , -.03, -.04, .04 , -.19, -.02, .00
1961                    , .07 , .19 , .09 , .13 , .12 , .11 , .01 , .01 , .08 , .00 , .03 , -.16, .06 , .09 , .15 , .12 , .04 , .04
1962                    , .05 , .15 , .10 , .05 , -.06, .03 , .02 , -.01, .00 , .01 , .06 , -.03, .03 , .02 , .01 , .03 , .01 , .02
1963                    , -.03, .18 , -.14, -.07, -.06, .05 , .06 , .22 , .17 , .15 , .15 , -.03, .05 , .05 , .04 , -.09, .11 , .16
1964                    , -.09, -.10, -.21, -.32, -.25, -.04, -.04, -.22, -.29, -.31, -.21, -.30, -.20, -.18, -.07, -.26, -.10, -.27
1965                    , -.08, -.17, -.13, -.19, -.12, -.08, -.13, -.04, -.15, -.05, -.06, -.08, -.11, -.13, -.18, -.15, -.09, -.09
1966                    , -.19, -.04, .03 , -.13, -.12, .01 , .08 , -.08, -.03, -.17, -.01, -.02, -.06, -.06, -.10, -.07, .00 , -.07
1967                    , -.07, -.21, .05 , -.05, .12 , -.08, .02 , .01 , -.06, .09 , -.05, -.05, -.02, -.02, -.10, .04 , -.02, -.01
1968                    , -.26, -.14, .21 , -.05, -.14, -.09, -.13, -.08, -.19, .09 , -.05, -.14, -.08, -.07, -.15, .00 , -.10, -.05
1969                    , -.11, -.18, .01 , .17 , .18 , .03 , -.04, .04 , .08 , .09 , .12 , .24 , .05 , .02 , -.14, .12 , .01 , .10
1970                    , .08 , .22 , .06 , .05 , -.03, -.02, .02 , -.10, .13 , .03 , .02 , -.12, .03 , .06 , .18 , .03 , -.04, .06
1971                    , -.02, -.15, -.18, -.07, -.05, -.16, -.08, -.01, -.05, -.04, -.07, -.08, -.08, -.08, -.10, -.10, -.08, -.06
1972                    , -.22, -.18, .03 , .00 , -.03, .04 , .01 , .16 , .02 , .08 , .02 , .18 , .01 , -.01, -.16, .00 , .07 , .04
1973                    , .29 , .32 , .29 , .27 , .23 , .19 , .13 , .05 , .09 , .10 , .04 , -.07, .16 , .18 , .26 , .26 , .12 , .08
1974                    , -.10, -.27, -.05, -.11, -.04, -.05, -.03, .10 , -.08, -.06, -.08, -.08, -.07, -.07, -.14, -.07, .01 , -.07
1975                    , .10 , .08 , .13 , .04 , .16 , -.01, -.01, -.17, -.02, -.11, -.17, -.17, -.01, -.01, .03 , .11 , -.06, -.10
1976                    , -.03, -.06, -.22, -.07, -.20, -.12, -.10, -.12, -.06, -.24, -.06, .11 , -.10, -.12, -.09, -.16, -.11, -.12
1977                    , .19 , .23 , .24 , .26 , .33 , .27 , .20 , .18 , .02 , .03 , .16 , .03 , .18 , .18 , .17 , .28 , .22 , .07
1978                    , .06 , .10 , .19 , .17 , .09 , -.01, .04 , -.14, .06 , .03 , .14 , .08 , .07 , .06 , .06 , .15 , -.04, .07
1979                    , .08 , -.10, .19 , .15 , .03 , .14 , .04 , .17 , .25 , .26 , .28 , .48 , .16 , .13 , .02 , .13 , .11 , .26
1980                    , .29 , .39 , .29 , .30 , .35 , .20 , .22 , .18 , .21 , .13 , .30 , .21 , .26 , .28 , .39 , .31 , .20 , .21
1981                    , .53 , .42 , .48 , .32 , .25 , .29 , .32 , .35 , .15 , .12 , .23 , .41 , .32 , .31 , .39 , .35 , .32 , .16
1982                    , .05 , .15 , .03 , .15 , .18 , .06 , .14 , .03 , .14 , .13 , .18 , .43 , .14 , .14 , .20 , .12 , .08 , .15
1983                    , .53 , .43 , .42 , .28 , .34 , .23 , .18 , .36 , .37 , .17 , .30 , .17 , .31 , .34 , .46 , .34 , .26 , .28
1984                    , .31 , .14 , .26 , .06 , .33 , .02 , .19 , .19 , .21 , .13 , .07 , -.04, .16 , .17 , .20 , .22 , .14 , .14
1985                    , .22 , -.04, .17 , .12 , .14 , .15 , .04 , .17 , .13 , .12 , .05 , .14 , .12 , .10 , .05 , .15 , .12 , .10
1986                    , .26 , .37 , .30 , .22 , .21 , .12 , .11 , .16 , .03 , .15 , .10 , .13 , .18 , .18 , .26 , .24 , .13 , .09
1987                    , .32 , .43 , .18 , .24 , .26 , .35 , .40 , .25 , .35 , .33 , .29 , .46 , .32 , .29 , .29 , .23 , .33 , .32
1988                    , .57 , .44 , .51 , .43 , .44 , .40 , .33 , .39 , .37 , .38 , .12 , .29 , .39 , .40 , .49 , .46 , .38 , .29
1989                    , .12 , .30 , .36 , .29 , .18 , .15 , .35 , .33 , .34 , .29 , .20 , .37 , .27 , .27 , .24 , .28 , .28 , .28
1990                    , .41 , .44 , .80 , .56 , .45 , .37 , .46 , .34 , .23 , .44 , .46 , .40 , .45 , .45 , .41 , .60 , .39 , .38
1991                    , .42 , .50 , .35 , .51 , .34 , .53 , .48 , .39 , .44 , .29 , .30 , .32 , .41 , .41 , .44 , .40 , .47 , .34
1992                    , .48 , .40 , .48 , .27 , .31 , .26 , .09 , .08 , -.01, .07 , .03 , .22 , .22 , .23 , .40 , .36 , .14 , .03
1993                    , .34 , .37 , .36 , .28 , .28 , .23 , .25 , .11 , .11 , .24 , .03 , .18 , .23 , .24 , .31 , .31 , .20 , .13
1994                    , .26 , .02 , .29 , .41 , .28 , .43 , .30 , .22 , .31 , .43 , .44 , .39 , .32 , .30 , .15 , .33 , .32 , .39
1995                    , .52 , .79 , .46 , .47 , .27 , .43 , .45 , .45 , .33 , .46 , .45 , .26 , .45 , .46 , .57 , .40 , .45 , .41
1996                    , .24 , .46 , .32 , .33 , .27 , .25 , .36 , .49 , .26 , .22 , .42 , .37 , .33 , .32 , .32 , .31 , .37 , .30
1997                    , .32 , .41 , .52 , .33 , .34 , .55 , .34 , .41 , .52 , .61 , .65 , .59 , .47 , .45 , .37 , .40 , .43 , .59
1998                    , .58 , .88 , .63 , .63 , .68 , .77 , .66 , .65 , .42 , .42 , .43 , .54 , .61 , .61 , .68 , .65 , .69 , .42
1999                    , .48 , .64 , .33 , .32 , .26 , .36 , .39 , .31 , .39 , .34 , .37 , .40 , .38 , .39 , .55 , .30 , .35 , .37
2000                    , .25 , .56 , .55 , .56 , .36 , .40 , .39 , .43 , .39 , .27 , .30 , .28 , .39 , .40 , .40 , .49 , .40 , .32
2001                    , .45 , .44 , .55 , .50 , .57 , .52 , .59 , .48 , .52 , .50 , .72 , .55 , .53 , .51 , .39 , .54 , .53 , .58
2002                    , .77 , .78 , .88 , .58 , .64 , .53 , .61 , .53 , .64 , .54 , .59 , .44 , .63 , .64 , .70 , .70 , .56 , .59
2003                    , .75 , .58 , .60 , .55 , .60 , .48 , .58 , .64 , .62 , .72 , .53 , .75 , .62 , .59 , .59 , .58 , .57 , .62
2004                    , .58 , .72 , .63 , .61 , .37 , .44 , .26 , .45 , .50 , .61 , .73 , .50 , .53 , .55 , .68 , .53 , .38 , .61
2005                    , .75 , .60 , .74 , .67 , .63 , .65 , .61 , .60 , .72 , .76 , .74 , .68 , .68 , .66 , .62 , .68 , .62 , .74
2006                    , .56 , .74 , .63 , .47 , .48 , .66 , .54 , .71 , .66 , .71 , .73 , .79 , .64 , .63 , .66 , .53 , .64 , .70
2007                    , 1.01, .70 , .71 , .77 , .69 , .61 , .60 , .60 , .61 , .59 , .59 , .50 , .67 , .69 , .84 , .72 , .60 , .60
2008                    , .30 , .38 , .75 , .54 , .50 , .49 , .60 , .45 , .61 , .67 , .69 , .54 , .54 , .54 , .39 , .59 , .52 , .66
2009                    , .65 , .53 , .53 , .61 , .65 , .64 , .74 , .69 , .72 , .65 , .80 , .67 , .66 , .65 , .57 , .60 , .69 , .72
2010                    , .75 , .84 , .92 , .85 , .75 , .68 , .63 , .67 , .63 , .71 , .82 , .45 , .73 , .74 , .75 , .84 , .66 , .72
2011                    , .52 , .48 , .66 , .64 , .53 , .63 , .71 , .75 , .56 , .65 , .59 , .60 , .61 , .60 , .48 , .61 , .69 , .60
2012                    , .47 , .48 , .57 , .73 , .78 , .64 , .59 , .66 , .72 , .80 , .78 , .53 , .65 , .65 , .52 , .69 , .63 , .77
2013                    , .71 , .62 , .67 , .53 , .60 , .69 , .60 , .71 , .77 , .69 , .83 , .70 , .68 , .66 , .62 , .60 , .67 , .76
2014                    , .76 , .55 , .78 , .81 , .86 , .67 , .58 , .84 , .88 , .80 , .67 , .79 , .75 , .74 , .67 , .82 , .70 , .78
2015                    , .86 , .91 , .96 , .75 , .80 , .81 , .73 , .80 , .84 , 1.08, 1.06, 1.17, .90 , .87 , .86 , .84 , .78 , .99
2016                    , 1.18, 1.36, 1.35, 1.09, .96 , .81 , .84 , 1.02, .90 , .87 , .91 , .86 , 1.01, 1.04, 1.24, 1.13, .89 , .89
2017                    , 1.02, 1.13, 1.16, .93 , .91 , .71 , .82 , .87 , .74 , .88 , .87 , .93 , .92 , .91 , 1.00, 1.00, .80 , .83
2018                    , .82 , .85 , .88 , .88 , .81 , .77 , .83 , .78 , .80 , 1.02, .83 , .93 , .85 , .85 , .87 , .86 , .79 , .88
2019                    , .93 , .96 , 1.17, 1.00, .86 , .90 , .94 , .95 , .93 , 1.00, .99 , 1.12, .98 , .96 , .94 , 1.01, .93 , .97
2020                    , 1.18, 1.24, 1.18, 1.12, .99 , .91 , .89 , .86 , .96 , .87 , 1.09, .80 , 1.01, 1.03, 1.18, 1.10, .89 , .97
2021                    , .81 , .64 , .89 , .76 , .79 , .84 , .92 , .81 , .92 , .98 , .92 , .88 , .85 , .84 , .75 , .81 , .86 , .94
2022                    , .91 , .89 , 1.04, .83 , .84 , .92 , .94 , .94 , .88 , .97 , .73 , .80 , .89 , .90 , .89 , .90 , .93 , .86
2023                    , .88 , .97 , 1.23, .99 , .94 , 1.08, 1.19, 1.19, 1.48, 1.35, 1.40, 1.35, 1.17, 1.12, .88 , 1.05, 1.16, 1.41
2024                    , 1.25, 1.44, 1.39, 1.32, 1.16, 1.24, 1.20, 1.30, 1.21, 1.35, 1.30, 1.27, 1.28, 1.29, 1.35, 1.29, 1.25, 1.29
2025                    , 1.38, 1.26, 1.37, 1.24, 1.08, 1.07, 1.02, 1.18, 1.25, 1.19, 1.21, 1.05, 1.19, 1.21, 1.30, 1.23, 1.09, 1.22
2026                    , 1.08, 1.24, 1.32, 1.17, 1.12, *** , *** , *** , *** , *** , *** , *** , *** , *** , 1.13, 1.20, *** , ***
